name,County,pop_range,impact_score,access_tier,dist_to_finance_km,Town_Latitude,Town_Longitude,walking_hours
Matuu,Machakos,500 - 10k people,0.0,Tier 1: High Access (0-2km),0.203825558514081,-1.1438281031615167,37.54848520102087,0.0
Kapsabet,Nandi,10k - 100k people,660.0,Tier 4: Critical Desert (>10km),33.11869811716682,0.20049779204638674,35.10115010231092,6.6
Kapchebelel,Elgeyo-Marakwet,500 - 10k people,50.0,Tier 4: Critical Desert (>10km),25.17301326878365,0.28329999214909624,35.56660000230181,5.0
Nosukuro,Baringo,50 - 500 people,4.2,Tier 4: Critical Desert (>10km),21.213224414720163,0.5885141917542349,36.13066020242746,4.2
Cheberen,Baringo,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.694600923695706,0.23329999245530325,35.833300002230445,1.9
Winam,Vihiga,500 - 10k people,6.0,Tier 2: Moderate Access (2-5km),2.7655190725514442,0.09999999206679346,34.75000000229185,0.6
Musanda,Kakamega,500 - 10k people,12.0,Tier 3: Underserved (5-10km),6.1969257746737165,0.22035999156326883,34.4444390024085,1.2
Kakamega,Kakamega,100k - 5M+ people,0.0,Tier 1: High Access (0-2km),0.19451889813201892,0.28329999160416464,34.75000000241098,0.0
Yala,Siaya,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.5339030047947452,0.09544349193669169,34.533827902316744,0.1
Lemek,Narok,500 - 10k people,53.0,Tier 4: Critical Desert (>10km),26.39718923438373,-1.1000000046823115,35.383300001432005,5.3
Nanyuki,Laikipia,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.2766047069168913,0.014029993848587255,37.074632001887764,0.1
Mugurin,Baringo,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.641864408487065,0.09999999292324713,36.033300002111716,3.1
Kabungwa,Nandi,500 - 10k people,55.0,Tier 4: Critical Desert (>10km),27.58268098921132,0.21659999203831198,35.15000000231491,5.5
Angololo,Other / Border,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),3.766607544945964,0.6757781902705542,34.271011802724594,0.8
Muthara,Meru,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),4.248631501495819,0.21659999386161824,37.800000001903186,0.8
Mugerin,Baringo,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.641864408487065,0.09999999292324713,36.033300002111716,3.1
Shirotsa,Kakamega,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.6555310415604305,0.23329999161046255,34.566600002401664,1.5
Yaka,Tana River,500 - 10k people,146.0,Tier 4: Critical Desert (>10km),73.0337201756106,-1.5500000010524364,39.383300000359476,14.6
Ithemboni,Makueni,500 - 10k people,2.0,Tier 1: High Access (0-2km),1.2212683765885366,-1.650000002155276,37.450000000707035,0.2
Kisumu,Vihiga,500 - 10k people,6.0,Tier 2: Moderate Access (2-5km),2.7655190725514442,0.09999999206679346,34.75000000229185,0.6
Gatunga,Meru,500 - 10k people,33.0,Tier 4: Critical Desert (>10km),16.55857135369216,0.09999999430089639,38.016600001782685,3.3
Kisumo,Vihiga,500 - 10k people,6.0,Tier 2: Moderate Access (2-5km),2.7655190725514442,0.09999999206679346,34.75000000229185,0.6
Chemogoch,Baringo,500 - 10k people,11.0,Tier 3: Underserved (5-10km),5.495745358447418,0.016599993061466405,35.933300002071086,1.1
Siriba,Kisumu,500 - 10k people,6.0,Tier 2: Moderate Access (2-5km),3.0280246099557613,-7.781888109428132e-09,34.60000000224681,0.6
Port Florence,Vihiga,500 - 10k people,6.0,Tier 2: Moderate Access (2-5km),2.7655190725514442,0.09999999206679346,34.75000000229185,0.6
,Mandera,< 50 people,2.92,Tier 4: Critical Desert (>10km),145.82004070505718,2.8924771890599015,41.05770530335105,29.2
,Mandera,< 50 people,2.94,Tier 4: Critical Desert (>10km),147.05798707141884,2.8851264890747164,41.048939803346634,29.4
,Other / Border,< 50 people,3.06,Tier 4: Critical Desert (>10km),152.80003181099462,2.844498989169883,41.016780103319206,30.6
,Other / Border,< 50 people,3.06,Tier 4: Critical Desert (>10km),152.83780834201494,2.843609589173031,41.017375603318385,30.6
,Mandera,50 - 500 people,30.7,Tier 4: Critical Desert (>10km),153.30303409742217,2.7871568893217953,40.99345240327655,30.7
,Other / Border,50 - 500 people,30.7,Tier 4: Critical Desert (>10km),153.32165770627915,2.782319989340856,40.999131203271524,30.7
,Other / Border,50 - 500 people,30.8,Tier 4: Critical Desert (>10km),153.968000260361,2.792756589307351,40.99617590328061,30.8
Komorsido,Mandera,500 - 10k people,296.0,Tier 4: Critical Desert (>10km),148.15985681982397,2.7248376895064386,40.99288470322568,29.6
,Other / Border,< 50 people,1.72,Tier 4: Critical Desert (>10km),86.06709872832657,0.3936485957942937,41.00471290139014,17.2
Cheboin,Elgeyo-Marakwet,500 - 10k people,42.0,Tier 4: Critical Desert (>10km),21.065151045137796,0.29999999208441136,35.53330000231759,4.2
Angololo 'a',Other / Border,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.676103335937715,0.7001366902265181,34.301793802737016,1.5
Kadimu,Siaya,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.58486284389916,0.06390699176427563,34.14636000234478,3.1
Chemosusu,Baringo,500 - 10k people,22.0,Tier 4: Critical Desert (>10km),10.883271397008656,0.08329999269479293,35.63330000215954,2.2
Isiolo west location,Isiolo,500 - 10k people,32.0,Tier 4: Critical Desert (>10km),16.153773241488402,0.47028109301353144,37.49699280213316,3.2
Kamarabuyon,Baringo,500 - 10k people,45.0,Tier 4: Critical Desert (>10km),22.524227657705342,0.48329999206095886,36.18330000234815,4.5
Kihancha,Migori,500 - 10k people,61.0,Tier 4: Critical Desert (>10km),30.29815848302658,-1.2652925047746926,34.65806480144164,6.1
Bahadale,Garissa,500 - 10k people,170.0,Tier 4: Critical Desert (>10km),84.8073094672619,0.04994899517657499,39.06664580154741,17.0
Aisere,Kakamega,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.7067639631385205,0.23329999169814603,34.70000000238481,1.5
,Other / Border,50 - 500 people,31.1,Tier 4: Critical Desert (>10km),155.27434293445015,2.809449589256648,40.99501140329452,31.1
,Other / Border,50 - 500 people,30.9,Tier 4: Critical Desert (>10km),154.61300319978943,2.8026912892757023,40.993686303289216,30.9
,Other / Border,< 50 people,3.12,Tier 4: Critical Desert (>10km),156.08940128516122,2.8180739892319537,40.99628540330133,31.2
Kabiyet,Nandi,500 - 10k people,49.0,Tier 4: Critical Desert (>10km),24.34688452667247,0.3999999915276339,35.08330000244457,4.9
Kirima,Laikipia,500 - 10k people,12.0,Tier 3: Underserved (5-10km),6.0021567700273755,0.08329999316867547,36.33330000205465,1.2
Kaongo,Meru,500 - 10k people,14.0,Tier 3: Underserved (5-10km),6.936255642181889,0.0332999942505238,37.71660000179001,1.4
